18-09-06:11:43:11 INFO     [pong-server.py:104] Starting Pong Server on localhost:3000
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 134
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 134
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 135
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 118
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 121
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 136
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 137
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 136
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 145
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 148
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 135
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 93
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 87
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 82
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 108
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 125
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 132
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 132
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 148
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 129
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 140
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 148
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 148
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 134
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 136
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 134
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 133
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 132
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 133
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:35 INFO     [pong-server.py:68] 134
18-09-06:11:43:35 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 134
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 133
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 132
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 133
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 126
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 125
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 133
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 135
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 133
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 133
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 135
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 135
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 132
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 133
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 134
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 134
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 133
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 132
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 134
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:36 INFO     [pong-server.py:68] 134
18-09-06:11:43:36 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 133
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 136
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 136
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 135
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 135
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 136
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 136
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 135
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 133
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 121
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 121
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 134
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:37 INFO     [pong-server.py:68] 136
18-09-06:11:43:37 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:38 INFO     [pong-server.py:68] 147
18-09-06:11:43:38 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:38 INFO     [pong-server.py:68] 148
18-09-06:11:43:38 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:38 INFO     [pong-server.py:68] 148
18-09-06:11:43:38 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:38 INFO     [pong-server.py:68] 138
18-09-06:11:43:38 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:38 INFO     [pong-server.py:68] 138
18-09-06:11:43:38 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:38 INFO     [pong-server.py:68] 148
18-09-06:11:43:38 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:38 INFO     [pong-server.py:68] 146
18-09-06:11:43:38 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
